highTemp,avgTemp,lowTemp,highDewPoint,avgDewPoint,lowDewPoint,highHumid,avgHumid,lowHumid,highSeaLvl,avgSeaLvl,lowSeaLvl,highVisibility,avgVisibility,lowVisibility,highWind,avgWind,sumPrecip
31,28,24,23,22,20,86,68,46,1014,1012,1011,11,11,10,14,6,0
31,27,23,22,21,19,76,61,48,1013,1011,1010,11,11,10,21,8,0
32,28,24,23,21,20,78,60,43,1013,1011,1010,11,11,10,11,8,0
32,28,25,23,21,21,71,59,46,1012,1011,1009,11,11,10,14,8,0
28,26,24,24,22,21,81,73,61,1011,1010,1009,11,11,10,11,8,1.02
32,28,24,22,21,20,71,61,47,1012,1010,1008,11,11,10,14,5,0
31,28,24,22,20,18,71,57,41,1012,1010,1007,11,11,10,14,6,0
29,26,22,22,20,19,73,63,57,1011,1009,1008,11,11,11,14,6,0
31,27,22,22,20,18,73,59,42,1011,1009,1008,11,11,11,11,5,0
28,26,24,23,22,21,94,76,61,1012,1010,1008,11,11,10,14,8,8.89
29,27,23,23,22,19,90,74,51,1012,1010,1009,11,10,10,11,5,2.03
28,26,23,24,23,22,86,77,66,1011,1009,1007,11,10,10,11,5,0.51
31,27,23,23,22,21,87,70,54,1010,1009,1007,11,11,6,6,2,0
30,27,24,24,23,22,74,71,66,1011,1009,1008,11,11,10,3,0,0
31,27,24,24,22,22,87,73,60,1012,1011,1009,11,10,10,14,3,1.02
29,27,24,22,20,18,72,59,54,1013,1012,1010,11,11,10,14,6,0
31,27,23,20,19,19,68,56,42,1015,1013,1012,11,11,10,18,5,0
32,28,23,21,19,17,68,53,33,1017,1015,1013,11,11,10,14,5,0
30,27,23,22,21,18,72,61,54,1016,1014,1011,11,11,10,14,5,0
29,27,23,21,20,18,72,60,48,1015,1014,1012,11,11,10,11,6,0
31,27,23,20,19,18,68,53,36,1016,1015,1013,11,11,11,11,3,0
30,27,23,23,22,19,95,67,57,1017,1015,1013,11,11,8,14,5,10.92
29,26,23,24,23,22,95,81,58,1017,1015,1013,11,10,10,11,8,4.06
29,26,22,23,22,21,92,78,52,1017,1016,1014,11,9,6,21,10,2.03
30,27,23,22,21,21,81,71,61,1017,1016,1014,11,10,8,14,10,0
29,27,24,23,21,21,79,70,55,1016,1014,1013,11,10,10,14,8,0
29,26,22,21,20,18,79,66,46,1015,1014,1012,11,10,10,14,8,0
30,27,23,23,22,21,82,72,51,1013,1012,1011,11,11,10,11,5,0.51
29,26,23,22,21,21,83,67,58,1012,1011,1010,11,11,11,18,10,0
31,28,24,25,23,21,89,71,60,1011,1010,1009,11,10,10,11,8,0
30,28,26,25,24,22,91,74,58,1011,1010,1008,11,11,10,11,8,0
30,27,24,25,24,23,90,81,73,1012,1011,1010,11,11,11,11,5,12.95
29,27,24,24,23,22,88,77,64,1013,1012,1011,11,11,10,14,6,0.25
29,27,24,22,22,22,81,73,63,1013,1012,1010,11,11,10,14,5,0
29,27,23,22,20,19,76,62,51,1013,1011,1009,11,11,10,14,3,0
30,27,23,23,21,20,73,63,49,1011,1009,1006,11,11,11,14,5,0
30,27,24,22,21,19,78,62,48,1010,1008,1007,11,11,11,14,5,0
31,27,23,21,20,18,68,57,46,1011,1010,1008,11,11,10,14,5,0
30,27,23,23,22,21,77,68,59,1012,1010,1009,11,11,10,11,3,0
30,27,24,22,21,20,81,64,54,1012,1010,1008,11,11,10,11,3,0
29,27,23,21,20,19,70,61,47,1014,1012,1011,11,11,11,11,3,0
28,26,23,19,19,18,65,59,49,1017,1015,1013,11,11,10,14,8,0
29,26,23,20,19,17,75,61,47,1019,1017,1015,11,11,10,14,6,0
27,25,23,20,18,18,72,65,56,1021,1019,1017,11,11,10,14,5,1.02
28,24,22,18,16,14,69,52,33,1021,1020,1019,11,11,11,18,6,0
28,24,21,18,17,16,65,52,39,1020,1018,1016,11,11,10,21,13,0
28,24,20,21,19,18,86,63,45,1018,1016,1014,11,11,10,18,5,0
27,24,22,22,21,19,77,71,65,1017,1016,1014,11,11,11,11,3,0
28,26,23,24,23,22,90,79,67,1016,1015,1013,11,11,6,11,5,10.92
29,26,23,24,23,23,86,80,68,1015,1014,1012,11,10,8,11,5,1.02
33,28,23,23,23,22,90,74,54,1015,1013,1011,11,11,10,18,5,0
32,28,24,23,22,20,92,64,42,1015,1014,1012,11,11,10,21,6,0
32,28,24,22,20,18,59,55,46,1014,1013,1011,11,11,11,14,8,0
32,28,24,24,23,21,77,68,57,1014,1013,1011,11,11,10,18,6,0
31,28,24,24,23,21,93,69,53,1015,1014,1012,11,11,10,14,3,0
32,28,24,22,22,21,72,60,50,1014,1012,1010,11,11,11,11,5,0
31,28,24,23,22,21,72,64,57,1013,1012,1011,11,11,11,11,5,0
32,28,25,23,22,20,70,60,42,1014,1013,1012,11,11,11,14,5,0
32,28,25,23,22,22,76,66,53,1014,1012,1009,11,11,11,14,5,0
32,28,24,23,21,20,74,61,44,1014,1012,1010,11,11,11,14,6,0
30,28,25,23,22,21,74,65,56,1012,1011,1010,11,11,11,11,3,1.02
29,27,24,24,22,21,85,71,61,1012,1010,1008,11,11,11,6,3,0
29,26,23,24,22,20,98,79,59,1012,1010,1009,11,10,10,14,5,2.03
31,27,23,22,21,20,71,62,51,1012,1010,1008,11,11,10,14,6,0
32,27,23,22,21,19,81,63,39,1012,1010,1008,11,11,8,11,6,0
32,27,23,21,20,18,63,55,45,1012,1010,1007,11,11,11,14,5,0
31,28,24,22,21,18,76,59,43,1012,1010,1008,11,11,11,14,6,0
31,27,24,22,21,19,67,59,53,1013,1011,1009,11,11,10,14,3,0
33,28,23,21,20,19,59,52,39,1013,1011,1009,11,11,10,14,6,0
32,28,23,21,20,18,67,55,44,1013,1011,1009,11,11,11,11,6,0
33,28,24,22,21,19,77,58,42,1012,1010,1008,11,11,11,14,5,0
32,29,25,23,22,21,72,60,51,1012,1010,1008,11,11,11,18,5,0
33,30,27,26,23,21,82,66,54,1012,1010,1009,11,11,11,11,6,0
32,29,27,23,22,21,70,60,49,1013,1011,1009,11,11,10,14,8,1.02
32,29,25,21,21,18,67,56,47,1013,1011,1010,11,11,10,14,8,0
32,28,24,21,20,19,62,55,47,1014,1013,1010,11,11,11,14,8,0
33,29,24,20,18,17,64,47,33,1016,1014,1012,11,11,11,14,8,0
32,28,24,20,19,17,57,50,34,1015,1014,1012,11,11,11,21,6,0
33,29,24,21,20,20,70,57,44,1013,1012,1009,11,11,11,18,6,0
32,28,23,23,21,19,71,61,49,1013,1011,1010,11,11,11,6,3,0
34,29,24,24,23,22,95,66,42,1012,1011,1009,11,11,11,14,6,0
35,31,27,24,23,22,73,61,43,1014,1011,1009,11,11,11,14,5,0
34,31,27,24,23,22,77,60,43,1013,1012,1010,11,11,11,11,8,0
34,30,26,24,23,22,73,60,42,1014,1012,1010,11,11,11,21,6,0
33,29,26,24,22,22,66,56,45,1015,1013,1011,11,11,11,18,8,0
32,29,26,23,22,22,66,59,49,1016,1014,1012,11,11,11,18,6,0.51
32,29,25,23,21,20,76,54,41,1015,1014,1013,11,11,11,14,6,0
34,30,26,21,20,19,61,50,36,1016,1015,1013,11,11,11,18,5,0
33,29,26,23,21,19,68,55,40,1016,1014,1012,11,11,11,14,6,0
33,29,24,23,22,21,72,60,43,1013,1012,1010,11,11,11,14,8,0
32,28,25,25,23,22,79,67,54,1012,1011,1009,11,11,11,21,8,0
30,28,26,22,21,19,66,59,53,1014,1012,1011,11,11,10,11,8,0
31,27,24,20,19,18,59,52,42,1016,1014,1012,11,11,11,14,5,0
30,27,24,22,20,18,68,58,53,1015,1014,1012,11,11,11,14,5,0
31,27,23,22,21,18,74,58,47,1014,1012,1010,11,11,11,11,5,0
32,28,24,22,21,20,68,59,48,1012,1011,1008,11,11,11,18,8,0
34,30,25,22,22,20,71,55,39,1012,1011,1009,11,11,11,18,6,0
33,30,26,24,23,23,71,63,55,1013,1011,1009,11,11,11,14,6,0
35,31,27,26,23,19,75,57,33,1012,1010,1008,11,11,11,18,11,0
36,31,26,26,24,22,75,64,41,1011,1009,1006,11,11,11,14,10,0
33,30,27,26,24,22,75,64,44,1011,1009,1007,11,11,10,14,10,0
35,31,27,25,23,20,77,59,46,1012,1010,1008,11,11,11,21,8,0
34,30,26,23,21,18,61,49,37,1014,1012,1009,11,11,11,18,5,0
34,30,26,22,21,20,57,48,35,1013,1011,1009,11,11,11,18,10,0
33,29,26,24,22,21,67,59,50,1012,1011,1009,11,11,11,11,6,0
31,28,26,24,23,22,81,72,58,1012,1010,1010,11,10,8,11,6,2.03
35,30,26,25,24,23,77,64,49,1011,1010,1007,11,11,10,18,6,0
33,29,26,26,24,23,76,65,49,1011,1009,1008,11,11,11,14,5,0
33,29,26,26,25,24,82,74,61,1012,1010,1008,11,11,10,18,6,0
34,30,26,26,25,24,81,69,51,1013,1010,1008,11,11,10,11,6,0
35,30,24,27,25,24,88,69,53,1012,1009,1007,11,10,6,14,10,34.04
33,30,27,26,25,23,78,69,60,1012,1010,1007,11,11,11,14,8,24.89
33,28,24,26,24,23,85,69,59,1012,1010,1008,11,10,6,14,8,0.51
35,30,25,25,23,18,82,58,29,1012,1010,1008,11,11,10,11,5,0.51
34,30,26,24,23,22,72,60,47,1012,1010,1008,11,11,11,14,6,0
34,30,26,25,23,21,73,58,34,1011,1010,1007,11,11,11,14,8,0
34,31,27,27,25,24,79,66,52,1011,1009,1007,11,11,11,14,10,9.91
34,30,25,26,24,23,84,67,46,1010,1009,1007,11,10,6,18,10,9.91
34,30,26,26,24,23,80,68,51,1011,1010,1008,11,11,10,14,8,0
34,30,26,26,25,23,81,69,51,1012,1010,1009,11,11,11,18,8,0
35,31,26,27,25,24,77,66,48,1013,1011,1009,11,11,10,11,3,0
36,31,27,25,24,24,70,60,48,1012,1011,1008,11,11,11,11,6,0
34,30,26,25,24,23,81,65,47,1012,1011,1009,11,11,10,18,8,0.51
37,31,26,27,24,23,75,63,46,1013,1011,1009,11,11,10,18,5,0
34,30,26,24,23,20,79,55,44,1013,1012,1010,11,11,11,6,3,0
34,31,28,25,23,22,62,56,47,1013,1012,1010,11,11,11,11,6,0
34,30,27,25,23,22,70,59,51,1012,1011,1009,11,11,11,18,8,2.03
36,31,26,24,23,22,79,58,41,1011,1010,1007,11,11,11,14,5,0
36,31,27,24,23,21,64,52,42,1012,1010,1008,11,11,11,14,10,0
36,31,27,23,23,22,65,52,42,1012,1011,1009,11,11,11,21,8,0
35,31,27,23,22,20,62,48,33,1013,1011,1009,11,11,11,14,10,0
36,32,27,24,23,22,67,53,37,1011,1010,1007,11,11,11,18,10,0
36,32,27,24,23,22,66,51,37,1010,1009,1007,11,11,11,18,8,0
35,31,27,24,23,21,65,52,43,1010,1009,1006,11,11,11,18,6,0
36,31,27,24,23,22,67,54,35,1010,1008,1005,11,11,11,18,10,0
33,30,27,27,25,24,76,66,55,1008,1007,1005,11,11,11,18,8,0
34,31,27,27,26,25,91,78,58,1009,1008,1006,11,11,10,18,8,0
33,30,27,27,26,25,79,71,57,1010,1008,1007,11,11,6,14,5,0
36,32,28,26,25,23,82,69,43,1009,1008,1006,11,11,11,21,8,0
32,30,27,27,26,26,84,75,66,1008,1006,1005,11,11,11,11,5,0
33,30,27,27,26,25,85,75,62,1008,1006,1005,11,11,11,14,10,0.76
33,30,27,27,26,25,83,74,62,1009,1007,1005,11,11,10,21,8,0
32,29,26,27,26,25,88,75,67,1008,1008,1006,11,11,8,21,8,4.06
33,29,26,27,26,26,85,75,62,1008,1007,1006,11,11,10,18,6,0
32,29,27,27,26,25,89,81,68,1009,1008,1006,11,11,10,18,10,0.25
33,30,27,27,26,26,86,78,64,1009,1008,1006,11,11,10,21,10,0.51
34,30,26,26,26,24,89,75,56,1010,1008,1006,11,11,10,14,6,2.03
35,30,26,27,26,24,89,74,48,1009,1008,1006,11,11,10,18,6,28.96
36,30,24,27,25,24,96,72,43,1010,1009,1007,11,11,10,14,5,2.03
34,29,24,27,25,23,94,79,64,1012,1010,1008,11,10,6,18,5,73.91
34,28,22,27,25,24,81,69,52,1009,1009,1008,11,10,6,14,6,0
34,31,27,27,26,25,80,71,64,1009,1008,1006,11,11,11,21,6,0
34,31,27,27,26,25,83,71,60,1010,1008,1007,11,11,11,26,8,0
33,30,27,27,26,26,80,72,61,1010,1009,1007,11,11,11,18,10,0
33,30,27,27,26,26,86,73,57,1010,1008,1006,11,11,11,21,14,0.51
33,30,26,27,26,24,89,75,61,1011,1009,1007,11,11,11,18,10,11.94
35,31,27,27,26,24,87,71,46,1011,1009,1007,11,11,11,14,5,0
33,30,27,26,25,24,91,77,64,1011,1010,1009,11,11,10,14,3,7.87
34,30,26,26,25,23,87,66,54,1010,1009,1007,11,11,10,14,3,1.02
33,29,26,25,24,24,89,74,57,1010,1008,1007,11,10,8,18,5,36.07
30,27,24,26,24,24,89,82,69,1010,1009,1008,11,10,8,11,3,14.99
33,29,25,27,26,24,89,79,51,1012,1010,1009,11,10,6,18,3,14.99
35,30,26,26,25,23,87,70,43,1011,1010,1009,11,11,11,18,3,0
36,31,27,25,24,23,73,58,44,1012,1010,1009,11,11,11,14,5,0
36,32,29,27,26,24,81,67,51,1012,1011,1009,11,11,10,18,5,0
34,30,27,27,25,23,78,70,61,1012,1011,1009,11,11,10,21,5,3.05
34,29,25,26,25,24,86,66,52,1011,1009,1007,11,11,11,14,5,0
33,30,27,27,26,23,77,67,58,1009,1008,1006,11,11,11,21,10,0
34,31,27,26,25,23,75,66,46,1010,1008,1006,11,11,11,18,3,0
35,31,27,27,26,24,94,71,47,1009,1008,1006,11,11,11,14,5,23.11
34,30,25,26,26,24,88,73,54,1009,1008,1007,11,11,8,14,5,9.91
33,29,26,27,26,26,88,78,61,1011,1009,1007,11,11,10,18,3,1.02
33,30,27,27,26,24,91,74,60,1011,1010,1009,11,11,11,18,5,3.05
32,28,25,26,24,23,85,73,58,1011,1010,1008,11,11,11,14,3,0
33,30,26,26,25,23,83,69,56,1010,1009,1007,11,11,11,26,5,3.05
34,30,26,26,25,23,81,68,53,1010,1009,1008,11,11,11,14,2,0
34,30,26,27,26,23,73,70,62,1011,1010,1008,11,11,11,14,5,0
32,29,27,27,26,24,83,75,61,1011,1010,1009,11,11,8,3,2,1.02
31,29,26,26,25,23,87,75,64,1011,1010,1008,11,11,10,11,3,6.1
33,29,24,26,25,24,91,75,57,1011,1009,1008,11,11,11,11,3,2.03
34,30,26,26,24,23,85,72,48,1010,1008,1007,11,11,10,14,6,9.91
